"Book Number","Title","Author","Description","Publisher","ISBN","PRICE USED","PRICE NEW","BOX NUMBER","No. of Pages","KEEP","SELL","Notes",
1105,"Follow me to San Francisco   ","none ","Video Tape  ","BBC Longman","None",,,17,"n.a.",,,,
1106,"London  ","Leslie Dunkling","Book  ","Longman","0-582-74905-0",,,18,32,,,,
1107,"Where Eagles Dare","Alistair MacLean","Book  ","Collins English Library","0-00-370096-8",,,18,96,,,,
1108,"Wuthering Heights","Emily Bronte  ","Book  ","Longman","0-582-01822-6",,,18,74,,,,
1109,"Wuthering Heights","Emily Bronte  ","Book  ","Collins English Library","0-00-370086-0",,,18,119,,,,
1109,"Wuthering Heights","Emily Bronte  ","Book  ","Collins English Library","0-00-370086-0",,,18,119,,,,
1111,"King Solomon's Mines","H. Rider Haggard","Book  ","Collins English Library","0-00-370077-1",,,18,96,,,,
1112,"Bosch","Anthony Bosman","Book  ","Barnes and noble, Inc.","None",,,18,90,,,,
1113,"Spanish Level one","Harcourt, Brace & world","Book  ","Harcourt, Brace & world Inc.","None",,,18,131,,,,
1114,"K's First Case","LG Alexander","Longman Structural Readers Stage 2","Longman","0-582-53730-4",,,18,61,,,,
1115,"Six American Stories","Edited by Norman Wymer","Book  ","Collins English Library","0-00-370149-2",,,18,62,,,,
1107,"Where Eagles Dare","Alistair MacLean","Book  ","Collins English Library","0-00-370096-8",,,18,96,,,,
1117,"Middlemarch","George Eliot","Book  ","Collins English Library","0-00-370130-1",,,18,96,,,,
1118,"Ivanhoe","Sir Walter Scott","Book  ","Webster Division, Mcgraw Hill book company","07-033741-1",,,18,133,,,,
1119,"Wuthering Heights","Emily Bronte  ","Longman Movieworld easy reading edition","Longman","0-582-54124-7",,,18,32,,,,
1120,"Japanese Red and other short stories","none","Longman Structural Readers Stage 2","Longman","0-582-52739-2",,,18,48,,,,
1121,"Island of the Volcanoes","Donn Byrne","Longman Structural Readers Stage 2","Longman","0-582-53715-0",,,18,47,,,,
1122,"The storm ","Richard Musman","Longman Structural Readers Stage 1","Longman","0-582-53679-0",,,18,16,,,,
1123,"Pele King of Football","Noel Machin","Longman Structural Readers Stage 1","Longman","0-582-52674-4",,,18,16,,,,
1124,"Lisa in London","Paul Victor","Longman Structural Readers Stage 1","Longman","0-582-53347-3",,,18,16,,,,
1125,"Pop Festival","Ian Serraillier","Longman Structural Readers Stage 2","Longman","0-582-53714-2",,,18,32,,,,
1126,"Have you got your ticket","Ian Serraillier","Longman Structural Readers Stage 2","Longman","0-582-53727-4",,,18,32,,,,
1127,"It never snows in England","Peter Ferguson","Longman Structural Readers stage 1","Longman","0-582-52614-0",,,18,16,,,,
1128,"The mystery of the Loch Ness Monster","Leslie Dunkling","Longman Structural Readers Stage 1","Longman","0-582-52514-4",,,18,16,,,,
1129,"Pop festival ","Ian Serraillier","Longman Structural Readers Stage 2","Longman","0-582-53714-2",,,18,32,,,,
1130,"Marcel and the Mona Lisa","Stephen Rabley","Easy Starts","Longman","0-582-06075-3",,,18,16,,,,
1131,"Professor Boffin's umbrella","LG Alexander","Longman Structural Readers Stage 2","Longman","0-582-53724-X",,,18,32,,,,
1132,"Between two worlds","Stephen Rabley","Easy Starts","Longman","0-582-06074-5",,,18,16,,,,
1133,"The Battle of Newton Road","Leslie Dunkling","Longman Structural Readers Stage 1","Longman","0-582-53710-X",,,18,30,,,,
1134,"The Sheriff","Robert O'Neill","Longman Structural Readers Stage 1","Longman","0-582-52518-7",,,18,16,,,,
1135,"Worth a Fortune","LG Alexander","Longman Structural Readers Stage 2","Longman","0-582-53721-5",,,18,32,,,,
1136,"It never snows in England","Peter Ferguson","Longman Structural Readers Stage 1","Longman","0-582-52614-0",,,18,16,,,,
1137,"Sherlock Holmes and the Dancing Men","A conan Doyle- DK Swan","Longman Group Limited","Longman","0-582-53677-4",,,18,16,,,,
1138,"London  ","Leslie Dunkling","Longman Structural Readers : Background ","Longman","0-582-74905-0",,,18,32,,,,
1139,"The last photo","bernard Smith","Easy Starts","Longman","0-582-03147-8",,,18,16,,,,
1140,"The Lost Love and other stories by Jan Carew","none","Longman Structural Readers Stage 2","Longman","0-582-53690-1",,,18,28,,,,
1141,"Mr Punch","LG Alexander","Longman Structural Readers stage 1","Longman","0-582-53706-1",,,18,16,,,,
1142,"The blue Lagoon","H de Vere Stacpoole","Book  ","Longman","0-582-53540-9",,,18,60,,,,
1143,"Irish Short Stories ","various","Longman Simplified English Series","Longman","0-582-52908-5",,,18,110,,,,
1144,"Doctor Zhivago","Boris Pasternak","Book  ","Collins English Library","0-00-370097-6",,,18,120,,,,
1145,"The storm ","Richard Musman","Longman Structural Readers Stage 1","Longman","0-582-53679-0",,,18,16,,,,
1146,"Island of the Volcanoes","Donn Byrne","Longman Structural Readers Stage 2","Longman","0-582-53715-0",,,18,47,,,,
1147,"The House near the Sea","Richard Musman","Longman Structural Readers Stage 1","Longman","0-582-53707-X",,,18,16,,,,
1148,"Teaching English As a Second or Foreign Language","Marianne Celce-Murcia","Book  ","HH","0-8384-2860-6",,,18,567,,,,
1149,"Star Wars Episode I The phantom Menace","Terry Brooks","Audio book","Ballantine books","0-345-42765-3",,,18,324,,,"Para vender",
1150,"Book Three English","Cordelia Canabrava Arruda","Textbook","Editora Scipione","85-262-2712-2",,,18,190,,,,
1151,"Lado English Series-teacher's manual 2","Roberto Lado","Textbook","A regents Publication","0-88345-341-X",,,18,185,,,,
1152,"Lado English Series – Teacher's Manual 5","Roberto lado","Textbook","A regents Publication","0-88345-344-4",,,18,233,,,,
1153,"Contemporary Linguistics An Introduction","William O'Grady, Michael Dobrovolsky, Mark Aronoff","Book  ","St. Martin's Press","0-312-01878-9",,,18,490,,,,
1154,"Tarzan and his friends","none","children's book","kid stuff","None",,,18,15,,,,
1155,"The Saggy Baggy Elephant","none","Children's book","Disneyland records","None",,,18,20,,,,
1156,"Pete's Dragon","none","Book  ","Walt disney productions","None",,,18,24,,,,
1157,"The little Engine that could","none","a little golden book & cassette","Disneyland records","None",,,18,24,,,,
1158,"E.T. The Extraterrestrial as told by Gertie","none","children's book","Universal city studios","None",,,18,24,,,,
1159,"Tawny Scrawny Lion","none","Children's book","Disneyland records","None",,,18,24,,,,
1160,"Scuffy the tugboat","none","Children's book","Disneyland records","None",,,18,24,,,,
1161,"Baby Animals","none","Children's book","Disney Discovery series","None",,,18,24,,,,
1162,"Pinocchio","none","Children's book","Walt disney  ","None",,,18,24,,,,
1163,"Bambi","none","children's book","Walt disney  ","None",,,18,24,,,,
1164,"The Poky","none","children's book","Walt disney  ","None",,,18,24,,,,
1165,"Brer Rabbit and the tar baby","none","children's book","Walt disney  ","None",,,18,24,,,,
1166,"There's no such thing as  a Dragon","none","Children's book","A little Golden Book & cassette","None",,,18,24,,,,
1167,"The story of the Wizard of OZ","none","children's book","walt disney storyteller","None",,,18,24,,,,
1168,"Winnie the pooh and the Honey tree","none","children's book","Walt disney  ","None",,,18,24,,,,
1169,"Rumpelstiltskin","none","children's book","Walt disney  ","None",,,18,24,,,,
1170,"The Jungle Book","none","children's book","Walt disney  ","None",,,18,23,,,,
1171,"jack and the beanstalk","none","children's book","Tele-story presents","None",,,18,28,,,,
1172,"Sleeping beauty","none","children's book","Superscope, Inc.","None",,,18,28,,,,
1173,"The Tortoise and the Hare","none","children's book","Tele-story presents","None",,,18,28,,,,
1174,"Noah and the Ark","none","children's book","Tele-story presents","None",,,18,28,,,,
1175,"Goldilock and the three bears/the three little pigs","none","children's book","Tele-story presents","None",,,18,28,,,,
1176,"Samson and Delilah ","none","children's book","The superscope story teller","None",,,18,28,,,,
1177,"David and Goliath","none","children's book","Tele-story presents","None",,,18,28,,,,
1178,"Moses in Egypt","none","children's book","The superscope story teller","None",,,18,28,,,,
1179,"Moses in Egypt","none","children's book","The superscope story teller","None",,,18,28,,,,
1180,"Learning shapes and colors rainbow land","none","children's book","Tele-story presents","None",,,18,26,,,,
1181,"Learning my a treasure hunt","none","children's book","tele-story presents","None",,,18,26,,,,
1182,"Learning my a treasure hunt","none","children's book","tele-story presents","None",,,18,26,,,,
1183,"Learning about the zoo","none","children's book","tele-story presents","None",,,18,26,,,,
1184,"Learning about the zoo","none","children's book","Tele-story presents","None",,,18,26,,,,
1185,"Mickey Mouse and the second wish","none","Children's book","A Tell a tale book","None",,,18,26,,,,
1186,"Learning about manners what do you say","none","children's book","tele-story presents","None",,,18,26,,,,
1187,"Learning shapes and colors rainbow land","none","children's book","Tele-story presents","None",,,18,26,,,,
1188,"David copperfield","Charles Dickens","Book  ","Collins English Library","0-00-370084-4",,,18,96,,,,
1189,"Oil","Norman Wymer","Non-fiction Longman Structural Readers Stage 4","Longman","0-582-53755-X",,,18,74,,,,
1190,"Portuguese for Foreigners","S.M. Philbert","Book  ","Edicoes de Ouro","None",,,18,220,,,"Para vender",
1191,"The Eagle has landed","Jack Higgins","Book  ","Collins English Library","0-00-370122-0",,,18,112,,,,
1192,"Rapunzel/The gingerbread man","none","children's book","superscope, Inc.","None",,,18,26,,,,
1193,"The selfish giant","none","children's book","Tele-story presents","None",,,18,26,,,,
1194,"Rumpelstiltskin","none","children's book","the story teller","None",,,18,26,,,,
1195,"Daniel in the Lion's den","none","children's book","tele-story presents","None",,,18,26,,,,
1196,"Samson and delilah ","none","children's book","tele-story presents","None",,,18,26,,,,
1197,"Joshua and the battle of jericho","none","children's book","The superscope story teller","None",,,18,26,,,,
1198,"Daniel in the Lion's den","none","children's book","tele-story presents","None",,,18,26,,,,
1199,"Moses in Egypt","none","children's book","The superscope story teller","None",,,18,26,,,,
1200,"Noah and the Ark","none","children's book","tele-story presents","None",,,18,26,,,,
1201,"The emperor's new clothes","none","children's book","tele-story presents","None",,,18,26,,,,
1202,"Learning about manners what do you say","none","children's book","Tele-story presents","None",,,18,26,,,,
1203,"the Jungle  ","Upton Sinclair","Classics Illustrated","classics illustrated","0-915419-74-2",,,18,44,,,,
1204,"Gotham city","Mike Mignola","Comic Book","Abril jovem","None",,,18,47,,,,
1205,"the invisible man","H.G. Wells","Comic Book","classics illustrated","None",,,18,44,,,,
1206,"Cyrano de Bergerac ","Edmond Rostand","Comic Book","Clssic illustrated","0-425-12528-9",,,18,44,,,,
1207,"Dr. Jekyll & Mr. Hyde","Robert Louis Stevenson","Comic Book","classics illustrated","0-425-12025-2",,,18,44,,,,
1208,"The secret Agent","Joseph Conrad","Comic Book","classics illustrated","0-425-12524-6",,,18,44,,,,
1209,"Aesop's Fables","adapted by Eric vincent","Comic Book","classics illustrated","0-915419-73-4",,,18,44,,,,
1210,"The secret Agent","Joseph Conrad","Comic Book","classics illustrated","0-425-12524-6",,,18,44,,,,
1211,"Fafhrd and the Gray Mouser","Chaykin/Mignola/Williamson/van Valkenburgh and Fritz Lieber","Comic Book","Epic comics","0-87135-722-4",,,18,47,,,,
1212,"The Vampire Lestat","Anne Rice's","Comic Book","Innovation","None",,,18,32,,,,
1213,"Fafhrd and the Gray Mouser","chaykin/Mignola/Williamson/van Valkenburgh and Fritz Lieber","Comic Book","Epic comics","None",,,18,47,,,,
1214,"The Island of Dr. Moreau","H.G. Wells","Comic Book","classics illustrated","0-425-12029-5",,,18,44,,,,
1215,"Fafhrd and the Gray Mouser","chaykin/Mignola/Williamson/van Valkenburgh and Fritz Lieber","Comic Book","Epic comics","None",,,18,47,,,,
1216,"Seleccoes do Reader's Digest Lectures","none","none","none","None",,,18,142,,,,
1217,"A origem da vida","none","Book  ","biblioteca Salvat de grandes temas(gt)","84-401-0209-7",,,18,142,,,"Para vender",
1218,"Muzzy Level II","none","a video english course parts 4-6","BBC  ","None",,,18,62,,,"Para vender",
1219,"Muzzy BBC","none","video storybook","BBC  ","None",,,18,40,,,"Para vender",
1220,"Muzzy Level II ","none","level II","BBC  ","84-87299-16-4",,,18,62,,,"Para vender",
1221,"Muzzy BBC guia de curso","none","muzzy book","BBC  ","84-7638-028-5",,,18,64,,,"Para vender",
1222,"Muzzy BBC","none","muzzy book","BBC  ","84-7638-028-5",,,18,20,,,"Para vender",
1223,"Muzzy BBC","none","muzzy book","BBC  ","84-7638-028-5",,,18,20,,,"Para vender",
1224,"Muzzy BBC guia de curso","none","muzzy book","BBC  ","84-7638-028-5",,,18,64,,,"Para vender",
1225,"Muzzy BBC","none","muzzy book","BBC  ","84-7638-028-5",,,18,20,,,"Para vender",
1226,"Muzzy BBC","none","muzzy book","BBC  ","84-7638-028-5",,,18,24,,,"Para vender",
1227,"Story of Robin Hood","none","walt disney productions","Walt disney  ","None",,,18,24,,,,
1228,"Password English","Amadeus Marques","livro gramatica","Editora Atica","85-08-03890-8",,,18,152,,,,
1229,"Password English","Amadeus Marques","livro gramatica","Editora Atica","85-08-03892-5",,,18,151,,,,
1230,"Password English","Amadeus Marques","livro gramatica","Editora atica","85-08-03894-1",,,18,176,,,,
1231,"Muzzy BBC","none","muzzy book","BBC  ","84-7638-028-5",,,18,20,,,"Para vender",
1232,"Muzzy BBC","none","muzzy book","BBC  ","None",,,18,64,,,"Para vender",
1233,"Muzzy BBC","none","muzzy book","BBC  ","84-7638-028-5",,,18,20,,,"Para vender",
1234,"Muzzy BBC","none","muzzy book","BBC  ","None",,,18,36,,,"Para vender",
1235,"Muzzy BBC","none","muzzy book","BBC  ","84-7638-028-5",,,18,24,,,"Para vender",
1234,"Muzzy BBC","none","muzzy book","BBC  ","None",,,18,36,,,"Para vender",
1237,"English Grammar through actions","Eric J Schessler","muzzy book","BBC  ","0-940296-27-6",,,18,96,,,"Para vender",
1238,"The Sheriff","Robert O'Neill","Longman Structural Readers Stage 1","Longman","0-582-52518-7",,,18,16,,,,
1239,"Giria Americana comteporanea","Donald E. Collins/Luiz L Gomes","A dictionary of contemporary American Slang","Pioneira","None",,,18,250,,,,
1240,"Listening in & Speaking out -Intermediate","Gary James/Charles G Whitley/Sharon Bode","Book  ","Longman","0-582-79735-7",,,18,102,,,,
1241,"A case for English","Diana Hicks/Michel Pote/Armel Esnol/Derek Wright","Book  ","Cambridge University Press","0-521-22291-5",,,18,80,,,,
1242,"Hotel Personnel Book 1","Vivien Worsdall","Office Managers, Clerks, Cashiers, Telephone Operators","Collier-Macmillan International","None",,,18,122,,,,
1243,"Wuthering Heights","Emily Bronte  ","Longman Classics","Longman","0-582-01822-6",,,18,74,,,,
1244,"Girl Against the Jungle","Monica Vincent","Book  ","Longman","0-582-53729-0",,,18,32,,,,
1245,"Modern American English","Robert J Dixson","Book  ","Educom Editora LTDA. Sao Paulo","None",,,18,89,,,,
1246,"New Happy Book 3","Tania Moraes Gaspar","Textbook","Editora Scipione","85-262-3336-X",,,18,40,,,"Para vender",
1247,"If you Feel like singing","Alice H Osman/Jean McConochie","Textbook","Longman, Inc.","0-582-79724-1",,,18,92,,,"Para vender",
1248,"Operation Janus ","LG Alexander","Longman Structural Readers Stage 1","Longman","0-582-53713-4",,,19,16,,,,
1249,"The Mystery of the Loch Ness Monster","Leslie Dunkling","Longman Structural Readers Stage 1","Longman","0-582-52514-4",,,19,16,,,,
1250,"Sherlock Holmes and the Dancing Men","A conan Doyle- DK Swan","Fiction Longman Structural Readers Stage 1","Longman","0-582-53677-4",,,19,14,,,,
1251,"The Troy Stone","Stephen Rabley","Easy Starts","Longman","0-582-04598-3",,,19,16,,,,
1252,"Dead Man's River","Elizabeth Laird","Easy Starts","Longman","0-582-04612-2",,,19,16,,,,
1253,"Tinkers Island","Stephen Rabley","Easy Starts","Longman","0-582-03149-4",,,19,16,,,,
1254,"Flying Home","Stephen Rabley","Easy Starts","Longman","0-582-03151-6",,,19,16,,,,
1255,"Tinkers Farm","Stephen Rabley","Easy Starts","Longman","0-582-04609-2",,,19,16,,,,
1256,"Girl Against the Jungle","Monica Vincent","LSR Adventure Stage 2","Longman","0-582-53729-0",,,19,32,,,,
1257,"K's First Case","LG Alexander","Longman Structural Readers Stage 2","Longman","0-582-53730-4",,,19,61,,,,
1258,"The flying Spy","Alwyn Cox","Longman Structural Readers Stage 1","Longman","0-582-53709-6",,,19,16,,,,
1259,"April Fool's Day","LG Alexander","Longman Structural Readers Stage 2","Longman","0-582-53719-3",,,19,32,,,,
1260,"On the Road","Donn Byrne","Longman Structural Readers Stage 2","Longman","0-582-53716-9",,,19,32,,,,
1261,"Worth a Fortune","LG Alexander","Longman Structural Readers Stage 2","Longman","0-582-53721-5",,,19,32,,,,
1262,"Island of the Volcanoes","Donn Byrne","Longman Structural Readers Stage 2","Longman","0-582-53715-0",,,19,47,,,,
1263,"Green Island","Anthony Eyre","Longman Structural Readers Stage 1","Longman","0-582-53703-7",,,19,16,,,,
1264,"The Sheriff","Robert O'Neill","Longman Structural Readers Stage 1","Longman","0-582-52518-7",,,19,16,,,,
1265,"Detectives from Scotland Yard","LG Alexander","Longman Structural Readers Stage 1","Longman","0-582-53704-5",,,19,16,,,,
1266,"Car Thieves","L G Alexander","Longman Structural Readers Stage 1","Longman","0-582-53705-3",,,19,16,,,,
1267,"Graded English Puzzles Book Five","Lewis Jones","Puzzle book","Collins English Library","0-00-370304-5",,,19,46,,,,
1268,"Lost Secret Teacher's Guide","Robert O'Neill","Textbook","BBC English","1-85497-138-7",,,19,112,,,,
1269,"German for Travelers","Lewis Robins and Staff","Textbook","Collier Books","None",,,19,128,,,,
1270,"A new time for English Book 3","Amadeus Marques","Textbook","Editora Atica","85-08-03113-0",,,19,112,,,,
1271,"Teacher's Manual","none","text manual","Prentice Hall Regents","0-13-770967-6",,,19,60,,,,
1272,"Action Games","Cyndi Turtledove","game book","Delti","968-6820-04-3",,,19,121,,,,
1273,"Italian in 10 Minutes a day","Kristine Kershul","italian textbook","A sunset series","0-944502-31-8",,,19,128,,,,
1274,"An Illustrated history of the USA","Bryn O'Callaghan","English textbook","Longman","0-582-74921-2",,,19,144,,,"Para vender",
1275,"Fun and Games in English","Carla Chaves, Aileen Graham, Wendy Superfine","English textbook","Delta publishing","1-900783-34-7",,,19,95,,,,
1276,"Children's Games","Maria Toth","English textbook","Macmillan Heinemann","0-435-29466-0",,,19,96,,,,
1277,"Puzzlemania","none","English textbook","none","87534-703-7",,,19,50,,,,
1278,"Lado English Series – A complete course in English as a second language","Roberto Lado","English textbook","none","0-88345-340-1",,,19,179,,,,
1279,"Teacher's Manual","none","English textbook","Regents Illustrated Classics","0-13-770959-5",,,19,75,,,,
1280,"Teacher's Manual","none","English textbook","Regents Illustrated Classics","0-13-770967-6",,,19,60,,,,
1281,"Teacher's Manual","none","English textbook","Regents Illustrated Classics","0-13-770959-5",,,19,76,,,,
1282,"Muzzy and the funfair adventure","none","muzzy book","BBC English","1-85497-224-3",,,19,31,,,"Para vender",
1283,"Muzzy and the Great Gondoland Games","none","muzzy book","BBC English","1-85497-221-9",,,19,31,,,"Para vender",
1284,"French in 10 minutes a day","none","French Textbook","A sunset series","0-944502-15-6",,,19,112,,,,
1285,"Through the looking glass","Lewis Carroll","Classics Illustrated","classics illustrated","0-425-12022-8",,,19,44,,,,
1286,"Toulouse-Lautrec","Taschen","painting book","none","3-8228-0484-3",,,19,95,,,"Para vender",
1287,"TOEFL Tapescript and key","Carol King and Nancy Stanley","Book  ","Nelson","0-17-555730-6",,,19,114,,,"Para vender",
1288,"The Missing Habits","Rosana Telles and Charlyne Haden","Book  ","FTD","None",,,19,31,,,"Para vender",
1289,"The Hummingbird's Punishment","Steve and Maria Yolen","Book  ","FTD","None",,,19,23,,,"Para vender",
1290,"Streamline English Departures part A Units 1-40","Bernard hartley & Peter Viney","Book  ","Oxford University Press","0-19-432251-3",,,19,40,,,,
1291,"The Marvelous Fantastic Amazing Kite","Rosana Telles and Charlyne Haden","Book  ","FTD","None",,,19,15,,,,
1292,"Longman Preparation for the TOEFL","Deborah Phillips","Book  ","Longman","0-582-03747-6",,,19,282,,,"Para vender",
1293,"Chessmen","A.E.J. Mackett-Beeson","Book  ","Octopus books","0-7064-0050-X",,,19,97,,,"Para vender",
1294,"Building Skills for the TOEFL","Carol King and Nancy Stanley","Book  ","Nelson","0-17-555729-2",,,19,522,,,"Para vender",
1295,"As Linguas do Mundo","Charles Berlitz","Book  ","Editora Nova Fronteira","85-209-0086-0",,,19,316,,,"Para vender",
1296,"Book Four English Plus","Cordelia Canabrava Arruda","Textbook","Editora Scipione","85-262-2717-9",,,19,206,,,,
1297,"Basic Survival- International Communication for Professional People","Peter Viney","Text book","heinemann ELT","0-435-29688-4",,,19,103,,,,
1298,"Very Easy Crossword Puzzles Grades 1-2","none","Textbook","Whitman","None",,,19,62,,,,
1299,"Life Styles- Student's book 2","Francisco Lozano, Jane Sturtevant","Textbook","Longman/imnrc","0-582-79757-8",,,19,121,,,,
1300,"Psycholinguistics","Jean Berko Gleason, Nan Bernstein Ratner","Textbook","Harcourt Brace college publishers","0-15-504106-1",,,19,481,,,,
1301,"Toon The Cartoon Roleplaying Game","designed by Greg Costikyan","game book","Steve Jackson games","1-55634-197-0",,,19,208,,,,
1302,"Star Wars The Roleplaying Game","none","roleplaying game book","West End Games","0-87431-065-2",,,19,108,,,,
1303,"English 2","Amadeus Marques","Grammar book","Editora Atica","None",,,19,208,,,,
1304,"A concise English Grammar for foreign Students","C.E. Eckersley","Grammar book","Longman","0-582-52010-X",,,19,149,,,,
1305,"A university Grammar of English Workbook","Randolph Quirk, Signey Greenbaum","Workbook  ","Longman","0-582-52280-3",,,19,174,,,,
1306,"Estruturas Linguisticas do Portugues","Bernard Pottier/Albert Audubert/Cidmar Teodoro pais","Linguistics book","DIFEL","None",,,19,138,,,,
1307,"Metodologia Cientifica Guia para eficiencia nos estudos","Joao Alvaro Ruiz","Language teaching book","atlas","85-224-0753-3",,,19,177,,,,
1308,"The Natural Approach","Stephen Krashen","Language teaching book","Alemany Press","0-88084-005-6",,,19,191,,,,
1309,"Psycholinguistics","Michael Garman","Linguistics book","Cambridge Textbooks in Linguistics","0-521-27641-1",,,19,512,,,,
1310,"Puzzles Book six Graded English","Lewis Jones","Puzzle book","Collins English Library","0-00-370305-3",,,19,48,,,,
1311,"The sleeping River","Steve and Maria Yolen","Brazilian Legends Series","FTD","None",,,19,23,,,,
1312,"Passages","Isabel L Beck","HRW Reading","Holt, Rinehart and Winston","0-15-718120-0",,,20,596,,,"Para vender",
1313,"Superman From Krypton to Metropolis","E Nelson Bridwell","Comic Book","DC Comics","None",,,20,61,,,"Para vender",
1314,"Introductory Linguistics","Robert A Hall Jr.","Book  ","Hall","None",,,20,508,,,,
1315,"Novissimo Dizionario","none","Book  ","Lello & Irmao – Editores Porto","None",,,20,484,,,,
1316,"Introduction Theorical Linguistics","John Lyons","Book  ","Cambridge University Press","None",,,20,519,,,"Para vender",
1317,"Introducao a linguistica descritiva","H.A. Gleason, Jr","Book  ","Fundacao Calouste","None",,,20,533,,,,
1318,"What about Learning 2 English grammar","Arnon Hollaeder, Vidal Varella Filho","Book  ","Edicao Saraiva","None",,,20,232,,,,
1319,"Elements of Acoustic Phonetics","Peter Ladefoged","Book  ","The university of Chicago Press","0-226-46785-6",,,20,120,,,,
1320,"Dictionnaire Du Vocabulaire Essentiel","George Matore","Les 5000 Mots Fondamentaux","Larousse","84-7142-146-1",,,20,359,,,,
1321,"Funny Stories","none","Structurally graded","OGR","0-19-421762-0",,,20,32,,,,
1322,"English 2 Course 20 grau","Abel de Oliveira","Book  ","one","85-262-1834-4",,,20,240,,,,
1323,"Language Introductory readings","Virginia p. Clark","Book  ","St. Martin's press, New York","None",,,20,558,,,,
1324,"25 Centuries of Language Teaching 500 BC-1969","L.G Kelly","Book  ","Newbury House Publishers","None",,,20,474,,,,
1325,"Mother Goose","Illustrated by Hilda Offen","Book  ","Simon & Schuster books","0-671-50118-6",,,20,157,,,,
1326,"A new time for English Book 3","Amadeus Marques","Grammar book","Editora Atica","85-08-03113-0",,,20,112,,,,
1327,"Time for English Book 4 ","Amadeus Marques","Grammar book","Editora Atica","85-08-00454-0",,,20,128,,,,
1328,"Que eh Linguistica","Suzette/Haden/Elgin","Curso de Linguistica Moderna","Zahar Editores","None",,,20,159,,,,
1329,"Dicionario Basico Japones-Portugues","Massao Ohno ","Alianca Cultural Brasil-Japao","Fundacao Japao","4-89358-004-3",,,20,957,,,,
1330,"A University Grammar of English  ","Randolph Quirk, Sidney Greenbaum","A university grammar of English","Longman","0-582-55207-9",,,20,484,,,,
1331,"Second Book in English","Robert J Dixson","Revised Edition","Dixson English Series","None",,,20,116,,,,
1332,"Modern American English","Robert J Dixson","Modern American English New Edition","Educom Editora LTDA. Sao Paulo","None",,,20,167,,,,
1333,"Lado English Series – A complete course in English as a second language","Robert Lado","Teacher's manual","Regents Publishing Company, Inc.","None",,,20,127,,,,
1334,"Lado English Series – A complete course in English as a second language","Robert Lado","Book 6","Regents Publishing Company, Inc.","None",,,20,308,,,,
1335,"The Ear Book","Al Perkins","Bright and early books for beginning beginners","A Bright and Early book","None",,,20,20,,,"Para vender",
1336,"Snow White and the Seven Dwarfs","none","Walt disney  ","Disney  ","None",,,20,39,,,"Para vender",
1337,"You're the Greatest Charlie Brown","Charles Schulz","Walt disney  ","Charlie brown Special","None",,,20,36,,,"Para vender",
1338,"Pequena Historia da Linguistica","R.H. Robins","Linguistica e filologia","ao livro Tecnico S/A Industria e Comercio","None",,,20,202,,,,
1339,"1 English course 2o grau","Abel de Oliveira","livro do professor","Editora Scipione","85-262-1833-6",,,20,230,,,,
1340,"Nihongo Kaiwa/Curso de conversacao","Keiko furukawa e neida kokubo","Alianca Cultural Brasil-Japao","Alianca cultural Brasil-japao","None",,,20,170,,,,
1341,"Play and Practice","Anthony Bosman/Kurt Stenberg","Communicative activies and games for building English language Skills","National Textbook Company","None",,,20,20,,,,
1342,"Mother Goose Jazz Chants","Carolyn Graham","Jazz chants","Oxford American English","0-19-434001-5",,,20,56,,,,
1343,"Role Play in Language Learning","Carol Livingstone","Longman Handbooks for Language Teachers","Longman","0-582-74611-6",,,20,94,,,,
1344,"Materials for Language Teaching 2 Interaction package B","Donn Byrne","Interaction Package B","Modern English Publications","0-906149-03-7",,,20,32,,,,
1345,"Materials for Language Teaching 3 ","Donn Byrne","Book  ","Modern English Publications","0-906149-04-5",,,20,28,,,,
1346,"Materials for Language Teaching 1 Interaction package A","Donn Byrne","book new edition","Modern English Publications","0-906149-11-8",,,20,36,,,,
1347,"Guia do curso Vocabulario Essencial","none","o frances de hoje selecoes readers digest","Seleccoes do reader's digest","84-7142-146-1",,,20,82,,,,
1348,"Talk it Over","Alexander, Vincent, Chapman","Discussion Topics for Intermediate Students","Longman","0-582-7971-95",,,20,62,,,,
1349,"New Horizons in English 6 Second Edition","Mellgren/Walker","Grammar textbook","Addison-Wesley Publishing company","0-201-05025-0",,,20,144,,,,
1350,"Lado English Series – A complete course in English as a second language","Robert Lado","Grammar book","Regents Publishing Company, Inc.","0-88345-307-X",,,20,198,,,,
1351,"Say it Naturally verbal strategies for Authentic Communication","Allie Patricia Wall","Book  ","HOLT ESL/EFL","0-03-002873-6",,,21,304,,,,
1352,"Yes! English For Children","Lars Mellgren Michael Walker","Textbook","Addison-Wesley Publishing company","0-201-04942-2",,,21,64,,,"Para vender",
1353,"Yes! English For Children","Lars Mellgren Michael Walker","Textbook","Addison-Wesley Publishing company","0-201-04940-6",,,21,64,,,"Para vender",
1354,"Yes! English For Children","Lars Mellgren Michael Walker","teachers guide","Addison-Wesley Publishing company","0-201-04941-4",,,21,69,,,"Para vender",
1355,"Yes! English For Children","Lars Mellgren Michael Walker","Textbook","Addison-Wesley Publishing company","0-201-04945-9",,,21,96,,,"Para vender",
1356,"Book Two English Plus","Cordelia Canabrava Arruda","Textbook","Editora Scipione","85-262-2710-6",,,21,182,,,,
1357,"Easy Vocabulary Games for beginning English Language Learners","Blackline Masters","Textbook","Linda Schinke-Llano","0-8442-7394-5",,,21,32,,,,
